Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-119.4,49.86,KELOWNA EAST,1123984,2000-12-18,2000,12,18,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-19,2000,12,19,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-20,2000,12,20,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-21,2000,12,21,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-22,2000,12,22,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-23,2000,12,23,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-24,2000,12,24,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-25,2000,12,25,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-26,2000,12,26,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-27,2000,12,27,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-28,2000,12,28,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-29,2000,12,29,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-30,2000,12,30,,,,,,,,,,,,,,,,,,,,,,,
-119.4,49.86,KELOWNA EAST,1123984,2000-12-31,2000,12,31,,,,,,,,,,,,,,,,,,,,,,,
